		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
10	Summit Ave & E Denny Way	16	14	12	13	10	7	15	5	12		2	2	8	5	10	5	4	2	6	14	38	19	16	17	6	7	19	20	19	4	12	6	8	6	10	8	15	32	26	25	28	29	29	26	28	29	27	20	18	10
11	 E Harrison St & Broadway Ave E	20	18	16	16	15	11	19	9	16	2		1	5	3	7	3	3	3	3	17	36	16	16	19	9	8	20	22	21	4	14	6	10	7	13	10	17	30	23	22	25	27	26	23	25	26	24	24	22	12
12	Summit Ave E & E Republican St	18	15	15	14	13	10	17	7	14	2	1		3	6	10	6	5	3	5	14	36	13	13	15	9	9	21	24	23	6	12	8	10	7	12	8	17	30	21	20	23	27	24	21	25	26	25	21	20	12
13	 15th Ave E & E Thomas St	23	21	19	20	18	14	22	12	19	8	5	3		1	2	2	3	4	2	21	37	21	20	22	12	8	20	23	24	7	14	9	10	8	14	10	17	31	26	25	28	28	30	26	26	27	26	27	25	12
14	 12th Ave & E Denny Way	19	17	16	16	14	11	19	9	16	5	3	6	1		3	0	2	3	2	18	38	23	19	21	8	5	17	20	21	6	13	8	9	6	13	9	16	32	26	24	28	29	29	26	27	28	27	23	22	11
15	 E Pine St & 16th Ave	21	19	18	18	16	12	20	10	17	10	7	10	2	3		1	3	3	5	20	38	24	22	24	10	7	18	21	22	7	13	9	9	7	14	9	17	32	29	27	31	29	31	29	28	29	27	25	24	11
16	 Cal Anderson Park / 11th Ave & Pine St	17	15	14	14	12	9	17	7	14	5	3	6	2	0	1		2	2	4	16	38	21	19	21	6	4	16	19	19	5	12	7	8	5	12	8	15	32	26	24	28	29	29	26	27	28	27	21	20	10
17	 Harvard Ave & E Pine St	16	14	12	13	11	7	15	5	12	4	3	5	3	2	3	2		1	7	15	39	19	19	22	5	5	17	19	18	4	11	6	7	4	11	7	14	33	26	25	28	30	29	26	28	29	27	20	18	9
18	 Bellevue Ave & E Pine St	13	11	10	10	8	5	12	3	9	2	3	3	4	3	3	2	1		4	12	39	17	17	18	4	6	17	17	16	3	10	5	6	4	10	6	13	33	25	24	27	28	28	25	27	29	28	17	15	8
19	12th Ave & E Mercer St	22	20	18	19	17	13	21	11	18	6	3	5	2	2	5	4	7	4		21	37	18	17	20	11	8	19	22	23	6	15	9	11	8	14	11	18	31	24	23	26	28	27	24	26	27	25	26	25	13
20	 9th Ave N & Mercer St	10	9	5	8	11	7	17	9	11	14	17	14	21	18	20	16	15	12	21		38	3	8	14	10	13	18	17	16	5	3	1	2	6	2	4	8	31	27	23	30	28	28	25	27	28	24	13	12	13
21	 Childrens Hospital / Sandpoint Way NE & 40th Ave NE	48	48	43	46	49	46	56	40	49	38	36	36	37	38	38	38	39	39	37	38		31	28	22	40	31	43	55	54	38	36	40	41	44	37	42	45	6	19	16	17	11	16	15	14	11	16	59	51	52
22	Fred Hutchinson Cancer Research Center / Fairview Ave N & Aloha St	15	14	10	12	16	12	22	14	16	19	16	13	21	23	24	21	19	17	18	3	31		5	10	13	17	22	21	21	7	4	5	7	11	0	8	11	31	27	23	30	18	19	25	27	28	24	15	16	18
23	 E Blaine St & Fairview Ave E	18	17	13	16	19	15	25	16	19	16	16	13	20	19	22	19	19	17	17	8	28	5		7	16	17	25	25	24	10	7	7	11	13	4	12	14	24	18	15	19	15	15	16	19	20	17	21	19	21
24	Eastlake Ave E & E Allison St	25	24	20	23	26	22	32	19	26	17	19	15	22	21	24	21	22	18	20	14	22	10	7		27	25	31	32	31	17	14	14	17	20	11	18	21	15	8	5	10	8	9	7	9	11	8	28	28	28
25		12	11	7	10	4	5	5	6	5	6	9	9	12	8	10	6	5	4	11	10	40	13	16	27		4	6	8	7	8	12	10	8	5	13	8	15	33	27	24	28	34	34	25	28	28	26	20	15	7
26		16	15	11	14	9	8	11	7	12	7	8	9	8	5	7	4	5	6	8	13	31	17	17	25	4		6	8	9	9	16	11	12	9	16	12	19	28	29	25	30	33	32	27	29	23	23	24	20	12
27		18	18	15	16	11	13	5	16	10	19	20	21	20	17	18	16	17	17	19	18	43	22	25	31	6	6		2	3	19	20	18	17	14	21	16	20	40	40	37	42	38	38	38	46	35	35	15	10	6
28		18	14	15	16	9	13	5	15	8	20	22	24	23	20	21	19	19	17	22	17	55	21	25	32	8	8	2		1	18	20	18	16	13	20	16	18	49	45	41	48	45	44	41	43	45	43	13	8	4
29		16	13	13	14	8	11	4	14	6	19	21	23	24	21	22	19	18	16	23	16	54	21	24	31	7	9	3	1		17	18	17	15	12	19	14	17	48	43	40	46	44	43	40	42	45	42	10	6	3
30		10	9	5	8	9	7	13	6	10	4	4	6	7	6	7	5	4	3	6	5	38	7	10	17	8	9	19	18	17		8	2	4	3	5	5	14	32	23	21	25	25	26	23	25	26	24	15	13	11
31		8	8	5	7	10	8	15	8	11	12	14	12	14	13	13	12	11	10	15	3	36	4	7	14	12	16	20	20	18	8		4	5	8	2	5	9	30	23	21	25	26	25	22	24	26	24	13	14	15
32		6	7	3	5	9	6	13	6	10	6	6	8	9	8	9	7	6	5	9	1	40	5	7	14	10	11	18	18	17	2	4		API FAIL	API FAIL	API FAIL	2	API FAIL	34	20	19	22	29	29	26	27	30	27	14	12	14
33		5	5	2	4	7	4	11	4	8	8	10	10	10	9	9	8	7	6	11	2	41	7	11	17	8	12	17	16	15	4	5	API FAIL		API FAIL	API FAIL	API FAIL	6	35	23	22	25	31	30	27	29	32	29	10	11	API FAIL
34		7	6	3	5	4	1	8	1	5	6	7	7	8	6	7	5	4	4	8	6	44	11	13	20	5	9	14	13	12	3	8	API FAIL	API FAIL		API FAIL	API FAIL	9	38	26	25	28	34	33	30	32	35	32	12	12	7
35		9	9	6	8	11	8	15	8	12	10	13	12	14	13	14	12	11	10	14	2	37	0	4	11	13	16	21	20	19	5	2	API FAIL	API FAIL	API FAIL		API FAIL	7	31	17	15	19	19	20	17	19	27	24	14	15	API FAIL
36		4	4	1	3	6	4	11	4	7	8	10	8	10	9	9	8	7	6	11	4	42	8	12	18	8	12	16	16	14	5	5	2	API FAIL	API FAIL	API FAIL		6	36	28	23	30	31	31	28	30	32	29	10	10	10
37		4	5	9	7	11	11	16	11	10	15	17	17	17	16	17	15	14	13	18	8	45	11	14	21	15	19	20	18	17	14	9	API FAIL	6	9	7	6		39	27	26	29	35	34	31	33	36	33	8	12	API FAIL
38		37	38	35	37	40	37	44	37	41	32	30	30	31	32	32	32	33	33	31	31	6	31	24	15	33	28	40	49	48	32	30	34	35	38	31	36	39		9	10	6	4	9	8	6	5	10	52	44	46
39		33	34	30	32	35	33	39	24	36	26	23	21	26	26	29	26	26	25	24	27	19	27	18	8	27	29	40	45	43	23	23	20	23	26	17	28	27	9		3	2	3	3	3	5	9	7	48	39	34
40		29	29	25	27	31	27	37	24	31	25	22	20	25	24	27	24	25	24	23	23	16	23	15	5	24	25	37	41	40	21	21	19	22	25	15	23	26	10	3		6	4	4	1	3	7	4	44	35	33
41		33	32	32	30	34	34	40	27	34	28	25	23	28	28	31	28	28	27	26	30	17	30	19	10	28	30	42	48	46	25	25	22	25	28	19	30	29	6	2	6		4	4	6	6	11	10	51	42	36
42		38	37	33	35	39	35	45	28	39	29	27	27	28	29	29	29	30	28	28	28	11	18	15	8	34	33	38	45	44	25	26	29	31	34	19	31	35	4	3	4	4		3	3	1	3	5	46	41	41
43		37	37	32	35	38	35	45	28	38	29	26	24	30	29	31	29	29	28	27	28	16	19	15	9	34	32	38	44	43	26	25	29	30	33	20	31	34	9	3	4	4	3		3	3	5	7	53	41	41
44		34	33	29	32	35	32	42	25	35	26	23	21	26	26	29	26	26	25	24	25	15	25	16	7	25	27	38	41	40	23	22	26	27	30	17	28	31	8	3	1	6	3	3		3	6	4	46	37	38
45		36	35	31	34	37	33	43	36	37	28	25	25	26	27	28	27	28	27	26	27	14	27	19	9	28	29	46	43	42	25	24	27	29	32	19	30	33	6	5	3	6	1	3	3		4	6	48	40	39
46		39	38	34	36	40	36	46	30	40	29	26	26	27	28	29	28	29	29	27	28	11	28	20	11	28	23	35	45	45	26	26	30	32	35	27	32	36	5	9	7	11	3	5	6	4		6	48	40	42
47		36	35	31	34	37	33	43	28	37	27	24	25	26	27	27	27	27	28	25	24	16	24	17	8	26	23	35	43	42	24	24	27	29	32	24	29	33	10	7	4	10	5	7	4	6	6		45	36	39
48		7	7	11	8	9	12	15	14	10	20	24	21	27	23	25	21	20	17	26	13	59	15	21	28	20	24	15	13	10	15	13	14	10	12	14	10	8	52	48	44	51	46	53	46	48	48	45		4	8
49		11	10	9	8	8	11	10	13	6	18	22	20	25	22	24	20	18	15	25	12	51	16	19	28	15	20	10	8	6	13	14	12	11	12	15	10	12	44	39	35	42	41	41	37	40	40	36	4		4
50		10	8	9	5	3	6	4	6	2	10	12	12	12	11	11	10	9	8	13	13	52	18	21	28	7	12	6	4	3	11	15	14	API FAIL	7	API FAIL	10	API FAIL	46	34	33	36	41	41	38	39	42	39	8	4	
